"codigo_show","codigo_artista","nome_artista","turne","local","data","cidade","estado","poster_url","foto_url"
"SHW-1001","ART-001","Anitta","Baile Funk Experience Tour","Allianz Parque","15/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/6c23bdfb5fbe7da84705596e1a4f00b2/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/e1a33054b719a936f00dc2050f3c90a9/1000x1000-000000-80-0-0.jpg"
"SHW-1002","ART-001","Anitta","Baile Funk Experience Tour","Praça da Apoteose","22/11/2026 • 20:30","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/6c23bdfb5fbe7da84705596e1a4f00b2/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/e1a33054b719a936f00dc2050f3c90a9/1000x1000-000000-80-0-0.jpg"
"SHW-1003","ART-001","Anitta","Ensaios da Anitta 2027","Arena Fonte Nova","16/01/2027 • 17:00","Salvador","BA","https://cdn-images.dzcdn.net/images/cover/6c23bdfb5fbe7da84705596e1a4f00b2/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/e1a33054b719a936f00dc2050f3c90a9/1000x1000-000000-80-0-0.jpg"
"SHW-1004","ART-002","Ludmilla","Numanice #3 Stadium Tour","Engenhão (Nilton Santos)","28/11/2026 • 18:00","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/cda49ff0e8f8d8d612d1865f735542d6/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/99d3d3733075c3db11a37c9a6feecce2/1000x1000-000000-80-0-0.jpg"
"SHW-1005","ART-002","Ludmilla","Numanice #3 Stadium Tour","Autódromo de Interlagos","05/12/2026 • 17:30","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/cda49ff0e8f8d8d612d1865f735542d6/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/99d3d3733075c3db11a37c9a6feecce2/1000x1000-000000-80-0-0.jpg"
"SHW-1006","ART-002","Ludmilla","Numanice #3 Stadium Tour","Centro de Convenções","13/12/2026 • 19:00","Recife","PE","https://cdn-images.dzcdn.net/images/cover/cda49ff0e8f8d8d612d1865f735542d6/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/99d3d3733075c3db11a37c9a6feecce2/1000x1000-000000-80-0-0.jpg"
"SHW-1007","ART-003","Luísa Sonza","Escândalo Íntimo Ao Vivo","Espaço Unimed","10/10/2026 • 22:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/b4bb0e14a1a6b0c20a1380ea057a627d/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/e57e035caeca80b70ebe378662a36aed/1000x1000-000000-80-0-0.jpg"
"SHW-1008","ART-003","Luísa Sonza","Escândalo Íntimo Ao Vivo","Pepsi On Stage","24/10/2026 • 21:30","Porto Alegre","RS","https://cdn-images.dzcdn.net/images/cover/b4bb0e14a1a6b0c20a1380ea057a627d/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/e57e035caeca80b70ebe378662a36aed/1000x1000-000000-80-0-0.jpg"
"SHW-1009","ART-004","Jão","Superturnê Estádios","Allianz Parque","07/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/03f0b48446b764bf50bf93c6ae074744/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/f1997d020d2979e2c48ea92a95e72d24/1000x1000-000000-80-0-0.jpg"
"SHW-1010","ART-004","Jão","Superturnê Estádios","Pedreira Paulo Leminski","14/11/2026 • 20:30","Curitiba","PR","https://cdn-images.dzcdn.net/images/cover/03f0b48446b764bf50bf93c6ae074744/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/f1997d020d2979e2c48ea92a95e72d24/1000x1000-000000-80-0-0.jpg"
"SHW-1011","ART-010","Gusttavo Lima","Buteco do Gusttavo Lima Despedida","Arena Mané Garrincha","17/10/2026 • 22:00","Brasília","DF","https://cdn-images.dzcdn.net/images/cover/448d3db85be2f9864235338872b794dc/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/0954d544bbd4183580375545145decd7/1000x1000-000000-80-0-0.jpg"
"SHW-1012","ART-010","Gusttavo Lima","Buteco do Gusttavo Lima Despedida","Estádio Serra Dourada","24/10/2026 • 21:30","Goiânia","GO","https://cdn-images.dzcdn.net/images/cover/448d3db85be2f9864235338872b794dc/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/0954d544bbd4183580375545145decd7/1000x1000-000000-80-0-0.jpg"
"SHW-1013","ART-010","Gusttavo Lima","Buteco do Gusttavo Lima Despedida","Mineirão","31/10/2026 • 21:00","Belo Horizonte","MG","https://cdn-images.dzcdn.net/images/cover/448d3db85be2f9864235338872b794dc/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/0954d544bbd4183580375545145decd7/1000x1000-000000-80-0-0.jpg"
"SHW-1014","ART-011","Jorge & Mateus","Único Tour 2026","Parque de Exposições","08/11/2026 • 22:00","Goiânia","GO","https://cdn-images.dzcdn.net/images/cover/db56f7105dfad6c9ff99a9cf57f7229e/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/46bf72b87250439262cc168d8fdcd240/1000x1000-000000-80-0-0.jpg"
"SHW-1015","ART-011","Jorge & Mateus","Único Tour 2026","Allianz Parque","21/11/2026 • 21:30","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/db56f7105dfad6c9ff99a9cf57f7229e/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/46bf72b87250439262cc168d8fdcd240/1000x1000-000000-80-0-0.jpg"
"SHW-1016","ART-011","Jorge & Mateus","Único Tour 2026","Estádio Beira-Rio","05/12/2026 • 21:00","Porto Alegre","RS","https://cdn-images.dzcdn.net/images/cover/db56f7105dfad6c9ff99a9cf57f7229e/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/46bf72b87250439262cc168d8fdcd240/1000x1000-000000-80-0-0.jpg"
"SHW-1017","ART-012","Henrique & Juliano","Manifesto Musical Ao Vivo","Arena Fonte Nova","04/10/2026 • 21:30","Salvador","BA","https://cdn-images.dzcdn.net/images/cover/4c6530666bb6c483d4e0e5ea4e41ea5d/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/19eb92f69ae705d9c19356616053ea6a/1000x1000-000000-80-0-0.jpg"
"SHW-1018","ART-012","Henrique & Juliano","Manifesto Musical Ao Vivo","Arena Castelão","18/10/2026 • 22:00","Fortaleza","CE","https://cdn-images.dzcdn.net/images/cover/4c6530666bb6c483d4e0e5ea4e41ea5d/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/19eb92f69ae705d9c19356616053ea6a/1000x1000-000000-80-0-0.jpg"
"SHW-1019","ART-013","Ana Castela","Boiadeira Tour Internacional","Arena da Baixada","06/11/2026 • 21:00","Curitiba","PR","https://cdn-images.dzcdn.net/images/cover/ee63be1db98a0026e6e22f28bcaee308/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/e13f4f69904321c7fae98f0694aa2801/1000x1000-000000-80-0-0.jpg"
"SHW-1020","ART-013","Ana Castela","Boiadeira Tour Internacional","Festa do Peão de Barretos","20/11/2026 • 23:00","Barretos","SP","https://cdn-images.dzcdn.net/images/cover/ee63be1db98a0026e6e22f28bcaee308/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/e13f4f69904321c7fae98f0694aa2801/1000x1000-000000-80-0-0.jpg"
"SHW-1021","ART-018","Thiaguinho","Tardezinha 10 Anos","Maracanã","28/11/2026 • 16:00","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/633458bfb3211516e8386348c68ff81a/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/11e3b67035f8d99c4aa029f6bbfe5b01/1000x1000-000000-80-0-0.jpg"
"SHW-1022","ART-018","Thiaguinho","Tardezinha 10 Anos","Neo Química Arena","12/12/2026 • 15:30","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/633458bfb3211516e8386348c68ff81a/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/11e3b67035f8d99c4aa029f6bbfe5b01/1000x1000-000000-80-0-0.jpg"
"SHW-1023","ART-018","Thiaguinho","Tardezinha 10 Anos","Parque de Exposições","19/12/2026 • 16:30","Salvador","BA","https://cdn-images.dzcdn.net/images/cover/633458bfb3211516e8386348c68ff81a/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/11e3b67035f8d99c4aa029f6bbfe5b01/1000x1000-000000-80-0-0.jpg"
"SHW-1024","ART-019","Péricles","Voz da Consciência Ao Vivo","Espaço Unimed","17/10/2026 • 22:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/fe61d43a69a4c588e40409a8ceebf443/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/f104d49a3c9ea5a5dfa9296568ba7a54/1000x1000-000000-80-0-0.jpg"
"SHW-1025","ART-019","Péricles","Voz da Consciência Ao Vivo","Vivo Rio","31/10/2026 • 21:30","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/fe61d43a69a4c588e40409a8ceebf443/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/f104d49a3c9ea5a5dfa9296568ba7a54/1000x1000-000000-80-0-0.jpg"
"SHW-1026","ART-024","Matuê","Turnê 333 Stadium Tour","Arena Castelão","19/12/2026 • 23:00","Fortaleza","CE","https://cdn-images.dzcdn.net/images/cover/d77bfb426725ea4bca4e606a21396b27/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/0edaeb3873f37a794fe956d23b08107d/1000x1000-000000-80-0-0.jpg"
"SHW-1027","ART-024","Matuê","Turnê 333 Stadium Tour","Audio Club","26/12/2026 • 23:30","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/d77bfb426725ea4bca4e606a21396b27/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/0edaeb3873f37a794fe956d23b08107d/1000x1000-000000-80-0-0.jpg"
